core_temp,hyd_pressure,voltage_draw,sync_rate,coolant_level,vibration,operating_hours,failure
59.33,1840.8,391.6,85.05,265.0,6.291,1612.3,0
42.43,1468.6,579.7,93.86,397.1,1.083,1014.6,0
65.53,1709.8,555.3,100.0,279.8,2.706,4969.0,0
65.29,1348.6,510.5,92.83,122.2,0.762,3130.4,0
48.88,1034.5,565.6,86.44,91.7,5.657,4814.2,1
61.73,1948.3,628.6,93.27,390.8,1.233,4934.2,0
68.01,1651.8,432.2,92.63,90.4,4.082,58.3,1
66.79,2374.4,634.6,100.0,465.7,0.1,1821.2,0
76.49,1718.9,252.6,85.42,299.9,2.762,4412.8,1
90.35,2009.0,544.8,91.48,389.6,4.282,3561.8,1
48.46,1213.0,189.3,92.85,292.7,2.312,2583.0,1
71.69,1669.8,433.7,93.74,150.0,0.757,4564.9,0
83.98,1947.9,351.9,79.35,378.3,3.376,3554.8,1
48.64,1326.4,748.2,91.62,344.8,1.236,4489.1,0
62.4,1185.3,492.8,92.27,478.8,1.685,1906.4,0
79.19,1473.0,414.3,87.69,330.6,,916.7,0
65.26,2842.9,526.8,93.58,407.7,2.785,4561.5,0
40.86,828.0,393.8,85.4,404.1,4.978,241.5,0
95.42,1505.0,537.7,80.35,202.3,4.106,2055.5,0
72.21,1605.7,678.7,80.68,155.5,5.722,3121.3,1
63.93,1205.9,517.9,96.54,163.2,2.446,3329.5,0
76.43,2248.0,731.2,98.92,483.8,0.833,2130.1,0
66.07,1993.5,622.4,100.0,167.0,5.573,78.5,0
67.96,1697.2,419.4,88.3,318.9,3.989,501.5,0
41.34,1598.4,417.7,87.53,201.2,2.009,4344.4,0
58.4,1123.2,550.8,99.35,253.3,2.1,2719.3,0
48.71,1468.3,342.7,99.4,289.7,5.834,1665.2,0
45.77,1448.9,101.9,95.37,148.3,4.121,2487.4,0
53.45,1148.9,373.7,77.96,322.5,2.25,3454.2,0
65.37,1146.8,548.3,88.87,80.6,3.398,4964.5,1
72.54,1311.7,662.3,87.19,366.5,6.439,1843.6,0
53.98,1696.3,384.1,95.78,252.8,4.237,2343.8,0
72.15,1963.3,497.4,87.99,232.1,4.461,4098.1,1
32.99,2354.1,378.3,99.26,81.5,1.752,1772.0,0
47.08,1777.6,541.1,88.1,134.5,,345.2,0
25.96,2231.5,370.2,94.15,204.2,3.014,1196.8,0
60.96,1870.5,603.9,100.0,493.4,3.369,3556.4,0
75.55,1345.4,603.9,86.41,64.8,4.552,4127.5,1
41.99,1517.8,336.6,94.12,297.9,2.746,2796.8,0
75.95,1085.8,475.7,76.68,307.7,5.017,2341.5,0
68.68,1974.5,670.7,94.14,309.0,4.451,4189.4,0
58.11,1424.9,391.0,100.0,74.7,,256.3,0
57.31,1954.0,534.6,97.48,299.7,5.297,4983.9,1
68.18,1329.2,390.3,91.46,250.3,,4344.6,0
58.66,1290.2,305.3,75.2,211.6,4.972,4987.2,1
108.3,1422.0,574.8,85.25,140.7,0.604,821.1,0
62.65,2329.1,370.0,98.9,250.8,1.032,1605.0,0
41.47,2066.6,722.2,100.0,385.8,0.44,796.5,0
85.98,1506.8,462.9,85.89,479.1,1.949,2549.6,0
65.23,1685.8,503.4,99.8,65.1,1.864,1487.6,0
73.74,1706.0,425.1,86.96,155.5,4.607,735.0,0
60.51,1462.9,381.0,90.45,99.5,1.16,3089.1,0
71.07,1719.4,451.9,99.06,393.6,2.728,2766.0,0
32.15,1736.3,450.0,84.67,276.3,1.567,3504.3,0
66.42,1278.9,569.9,83.36,388.3,1.222,20.3,0
,2089.1,466.7,88.79,195.3,0.103,3039.0,1
78.13,1894.7,396.8,91.14,162.6,1.53,2435.4,0
10.44,1148.7,692.8,91.86,57.3,4.758,935.0,0
40.28,1602.4,357.0,94.69,255.3,7.451,844.1,0
78.68,2105.1,442.3,94.8,281.6,0.277,3186.3,0
58.26,1960.9,459.5,88.29,,7.777,1011.8,0
68.38,2003.7,447.5,91.78,281.2,0.447,2036.0,0
99.68,1579.7,439.7,95.57,291.0,1.505,1461.6,0
73.18,1352.1,627.1,82.88,456.3,,284.7,0
85.45,2145.4,428.0,100.0,445.2,0.065,3125.2,0
59.24,1749.3,646.0,99.95,177.5,3.666,4876.0,0
72.11,1594.3,595.3,88.58,156.1,3.115,448.5,0
62.21,1456.7,642.7,95.61,399.3,7.419,3520.8,0
74.49,1517.1,397.9,86.06,370.4,6.123,104.4,0
28.01,1868.9,596.1,98.24,,3.039,4847.4,0
85.89,1553.8,570.2,95.79,127.5,3.817,4713.9,0
55.91,1306.3,573.1,83.76,241.3,,2688.4,0
28.59,1549.7,632.6,95.18,242.1,6.251,2726.8,0
,1891.0,514.3,100.0,435.1,5.326,1604.1,1
57.18,1512.3,483.7,97.75,209.0,5.052,3733.1,0
48.12,1441.3,574.2,81.07,497.2,3.508,934.4,0
30.17,1773.7,524.7,84.46,135.5,5.506,2706.3,0
,1372.0,546.4,100.0,471.4,0.214,4980.3,0
74.92,1907.8,382.6,100.0,204.4,1.488,2142.6,0
81.31,1238.3,477.5,100.0,397.1,2.12,35.8,0
73.08,862.2,571.9,84.4,315.3,3.093,290.7,0
67.93,1780.9,493.3,100.0,115.8,4.584,3299.8,1
45.23,1849.8,393.4,,289.7,5.094,3559.1,0
80.2,2014.5,540.9,95.54,87.1,0.361,1378.5,0
77.99,2042.7,551.5,88.05,466.4,3.227,784.3,0
76.58,1390.2,525.0,96.93,54.3,1.462,2754.6,1
52.64,1959.2,519.7,98.78,317.2,4.488,1156.7,0
68.58,2490.3,342.8,75.85,334.3,2.271,3502.4,1
55.37,1683.7,560.7,93.25,113.3,2.851,2271.5,0
71.21,1681.0,520.2,87.22,428.9,3.553,2883.1,0
52.5,1798.8,416.2,96.55,,,4087.2,1
73.66,1604.5,456.1,91.99,137.8,6.421,3611.3,1
89.81,1412.4,476.1,88.46,355.2,1.206,4990.9,0
68.48,1909.9,489.7,96.8,282.5,3.643,877.4,0
60.18,1987.9,497.8,100.0,77.0,3.055,3810.9,0
68.17,2058.9,536.6,91.79,365.4,4.195,2581.1,0
60.66,1671.2,407.2,99.62,446.0,8.453,1440.5,0
41.86,1105.6,716.9,98.24,429.8,4.519,1088.3,0
67.96,2099.5,624.5,95.17,498.6,5.633,3882.8,0
103.81,1490.9,484.0,100.0,66.4,4.919,375.5,1
70.07,1404.2,446.4,97.04,330.7,5.371,1721.5,0
49.02,1903.6,630.4,99.36,97.5,3.508,3180.7,0
61.45,2137.4,442.6,97.0,467.2,3.638,4231.5,0
,1740.5,618.2,98.54,467.3,0.675,2044.1,0
60.75,1529.8,531.5,97.96,61.0,5.723,3433.8,1
59.68,2101.2,601.6,96.62,,1.141,4789.8,0
74.72,1189.8,481.1,90.88,229.7,5.035,3020.4,0
42.33,2377.9,552.2,88.57,399.4,4.779,1090.5,0
55.48,1155.7,678.3,84.17,413.7,0.678,1534.9,0
52.09,1229.0,550.4,82.23,135.3,2.457,1104.0,0
74.33,955.7,700.6,99.55,414.8,1.324,3277.6,0
46.48,1859.3,445.7,88.61,442.8,4.337,4391.8,0
58.28,1384.7,585.4,97.51,262.7,5.067,2654.6,0
53.38,1570.1,493.3,100.0,375.2,0.854,4333.1,0
41.89,1585.2,446.8,96.92,88.5,1.189,3216.7,0
43.27,1390.3,626.2,79.56,180.4,3.668,1901.9,0
56.01,1962.2,716.6,92.8,278.9,4.955,2688.7,0
94.06,1475.0,385.8,,262.4,8.697,4422.8,0
66.72,1511.3,444.2,89.19,274.2,3.875,1028.6,0
74.38,1638.0,320.4,83.14,497.4,1.36,4146.1,0
84.8,1364.9,492.5,80.74,365.8,4.085,2235.4,0
98.24,1802.0,556.1,93.42,404.4,6.09,4979.4,0
43.23,1968.1,541.9,,182.6,2.43,4196.2,0
42.56,1131.3,458.9,86.56,115.7,1.576,1742.7,0
62.88,1802.4,468.7,89.25,71.1,2.478,1053.8,1
79.11,1932.8,281.5,93.47,195.2,6.588,967.4,1
53.97,1784.6,488.3,98.76,457.0,1.965,884.8,0
81.2,1690.0,509.2,89.37,432.2,2.725,4501.0,0
63.8,1692.5,711.9,85.72,239.9,3.557,3701.5,0
41.19,1499.9,396.4,94.94,374.8,1.191,1273.1,0
67.92,1195.8,517.9,93.14,382.3,6.086,1371.1,0
63.19,1469.3,513.5,97.93,60.3,0.36,904.8,0
57.88,1207.2,485.3,92.26,136.3,9.238,4466.7,1
53.4,1100.7,618.7,97.18,225.6,3.363,2210.3,0
97.05,1255.5,641.0,91.01,313.1,4.376,2230.2,0
46.94,950.8,619.2,100.0,317.2,0.706,1274.3,0
,1174.9,576.7,82.44,112.5,0.031,701.9,0
43.04,1127.7,399.6,95.16,81.6,3.657,3801.9,0
103.59,1113.3,572.8,73.72,467.3,0.382,282.8,0
70.99,1559.0,265.8,88.07,488.3,6.044,3480.3,0
64.76,1395.1,382.6,96.97,464.4,6.023,1401.9,0
60.55,1128.3,496.6,79.35,315.0,,1984.5,0
66.99,1368.8,632.2,100.0,375.8,2.318,3324.5,0
58.34,1151.7,545.6,99.1,194.9,1.655,651.7,0
70.37,1415.8,438.9,100.0,100.8,5.036,485.8,0
48.05,1573.3,443.3,87.22,204.6,2.098,3682.8,0
81.73,1342.0,496.2,88.95,151.4,2.154,2140.9,0
55.77,2691.0,466.0,78.45,258.2,4.941,950.2,0
50.25,1967.4,630.0,100.0,165.8,2.327,4686.4,0
87.48,1481.5,582.6,96.74,283.0,3.996,1200.0,0
75.31,1857.0,622.6,100.0,314.0,2.548,784.5,0
58.13,2415.5,480.5,96.73,283.7,0.456,3772.0,0
95.98,1818.1,670.6,94.09,58.3,3.055,3808.5,1
70.97,1846.6,595.1,100.0,203.2,1.551,3904.3,0
72.59,1458.0,521.1,94.35,251.5,1.405,507.2,0
36.73,1550.4,656.0,87.78,444.5,0.022,475.6,0
48.22,1714.8,591.6,90.83,145.7,7.624,332.4,0
88.28,1753.3,573.5,91.36,315.5,4.591,1155.7,0
87.92,2222.8,428.1,93.75,341.4,5.931,3852.0,1
64.27,1430.5,546.3,94.36,87.4,6.78,3079.5,1
63.61,1428.0,374.7,92.41,270.6,0.618,2148.7,0
58.51,2064.8,527.5,90.1,298.1,4.09,3306.5,0
60.72,1669.1,645.3,100.0,127.0,3.262,1851.9,0
39.21,1772.2,229.0,99.08,104.7,1.633,2287.3,0
55.55,1133.4,523.5,87.6,216.5,1.599,4407.1,0
51.95,1424.8,511.5,90.17,214.6,1.668,3909.5,0
58.89,1054.7,594.1,94.86,425.6,6.094,2003.9,0
64.74,1649.5,393.1,79.93,454.2,4.341,4556.5,1
66.86,326.2,590.6,100.0,104.8,3.409,4922.7,0
64.75,1095.2,629.7,86.14,235.7,4.923,4541.9,0
41.81,1438.9,460.9,87.69,390.5,1.66,4453.4,0
64.86,1367.6,305.9,93.42,171.9,2.515,4345.6,0
79.33,1794.9,523.4,92.31,244.3,3.205,7.9,0
35.8,14291.882352050467,439.5,96.06,126.7,2.709,3122.7,0
51.44,1806.1,404.2,88.22,452.7,3.226,1715.3,0
77.48,1386.0,593.5,82.45,366.1,2.316,2215.4,0
-25.407577785211387,1364.0,463.3,91.13,274.9,4.023,3676.9,0
64.7,2173.1,270.6,,318.4,1.815,2358.3,1
47.69,1808.0,468.7,82.63,133.0,0.126,563.1,0
63.46,1925.8,518.1,100.0,422.0,6.556,1283.8,1
61.89,877.4,447.5,83.3,189.4,0.026,677.2,0
60.02,2855.5,341.5,88.76,402.0,3.988,3407.3,0
59.27,2389.1,391.1,84.62,181.8,2.289,4234.2,0
56.41,1717.2,409.9,78.98,139.6,3.89,1478.9,0
87.3,1158.2,556.1,87.98,172.0,1.561,12.7,0
,1660.3,550.3,100.0,256.1,1.943,1013.8,0
31.94,1763.0,412.3,84.28,,3.37,283.6,0
68.73,1749.2,423.6,97.25,98.8,3.77,111.4,0
61.28,1748.9,481.5,99.1,69.6,0.8,2899.1,0
89.43,1516.3,463.6,94.76,339.2,2.992,4226.4,0
81.88,1726.3,494.0,100.0,202.0,6.521,2291.6,0
58.7,1958.6,473.1,92.18,397.9,5.92,4182.5,0
65.36,927.9,388.9,99.07,339.2,3.013,2168.5,0
52.74,2015.9,523.8,95.24,210.9,4.16,4087.5,0
56.14,1186.8,445.7,91.98,429.8,4.888,793.8,0
46.65,2105.4,732.4,83.78,496.5,6.106,956.1,0
31.61,1961.4,445.7,93.51,273.8,0.984,981.6,0
66.37,954.4,687.9,98.82,265.5,4.513,30.6,0
73.94,2491.7,341.1,85.27,491.2,2.225,1450.3,0
74.52,1962.9,330.5,92.76,332.0,0.805,2545.1,0
60.51,1926.0,437.7,98.7,339.4,,3734.5,0
86.06,1870.2,617.9,81.78,158.3,1.174,1066.7,0
61.06,871.6,539.3,96.57,251.8,4.274,4596.1,0
63.69,1747.7,448.1,96.7,105.2,4.012,3295.5,0
55.79,2039.2,360.8,96.29,489.6,5.586,307.4,0
39.0,1441.3,273.7,96.37,397.6,3.479,3926.9,0
62.35,1431.3,514.3,93.98,202.7,3.806,1427.5,1
37.36,1231.1,430.8,100.0,333.3,1.792,1483.7,0
,1073.2,444.3,100.0,379.1,1.749,198.0,0
58.07,1083.8,596.9,80.13,376.4,4.994,1846.4,0
69.58,1707.4,508.1,96.88,417.5,4.147,2582.4,0
55.57,1872.9,608.3,96.72,189.0,2.217,468.3,0
97.28,1831.8,604.2,88.34,260.8,5.84,3784.7,1
49.85,1204.6,426.2,86.58,150.8,2.555,3406.6,0
44.2,2094.8,583.4,93.86,281.3,3.948,3533.4,0
48.73,999.8,585.5,89.44,132.3,7.214,1588.2,0
52.12,1535.4,299.6,100.0,198.7,7.422,4704.0,0
48.3,902.8,620.2,89.26,,5.49,2018.9,0
41.96,1407.3,347.9,94.81,342.7,3.005,3342.9,0
47.65,1223.9,473.9,88.71,150.0,2.009,3601.0,0
49.35,1876.0,497.3,89.3,200.1,1.194,4873.3,0
67.77,745.3,614.1,89.28,210.8,7.247,838.6,0
49.97,1560.1,665.4,93.76,230.8,5.73,460.9,0
73.17,1693.9,383.8,93.9,316.2,3.534,1450.4,0
57.22,2181.7,562.8,100.0,436.2,0.056,2782.8,0
47.13,1147.3,460.4,80.74,426.6,0.652,71.6,0
87.15,1167.2,509.4,94.85,289.2,4.746,1652.9,0
44.35,1821.9,660.9,84.62,52.0,5.656,1093.6,1
37.5,2002.4,320.8,88.72,282.3,,438.7,0
70.47,1652.8,379.0,94.53,274.1,3.959,3194.1,0
71.45,1043.7,536.1,89.39,103.9,2.544,768.0,0
43.96,1839.7,497.3,96.9,356.8,0.097,4248.8,0
95.24,1851.2,721.9,100.0,238.0,1.0,3897.6,0
67.86,1502.9,548.5,98.83,456.8,4.997,3585.8,0
86.96,2175.1,607.9,97.58,252.5,1.834,3384.4,0
71.48,1097.8,576.2,100.0,235.0,1.46,2261.4,0
50.62,2120.4,436.8,92.0,404.1,1.42,2276.9,0
55.54,1027.0,304.8,92.99,217.4,6.439,1050.0,0
39.72,1533.4,483.2,96.0,187.9,4.954,4271.9,0
46.73,2351.7,530.3,85.94,245.4,0.266,1809.1,0
67.06,791.4,144.0,93.63,405.6,7.303,906.1,0
56.41,1516.2,659.0,100.0,251.1,2.59,4290.8,0
59.58,1777.1,297.4,87.78,105.0,,1996.5,1
74.8,1322.3,488.8,94.77,436.0,1.277,1464.8,0
43.98,1752.2,639.8,93.04,462.4,2.764,231.5,0
26.14,1837.9,514.7,97.6,279.6,2.011,4044.2,0
82.51,1663.3,443.0,94.89,191.9,3.056,257.4,0
56.09,1527.5,493.5,89.56,459.6,5.345,279.8,0
44.82,1715.5,440.4,100.0,,1.17,2868.0,0
31.8,1815.4,693.2,97.03,391.8,0.716,4791.0,0
50.57,1034.7,320.6,94.75,370.4,0.825,3082.0,0
62.83,1788.6,478.4,85.3,270.5,2.017,3276.8,0
,1009.6,484.5,,,3.808,4346.9,0
34.43,1142.4,365.6,,261.4,3.604,4841.3,0
69.2,2011.8,547.5,100.0,120.2,0.215,3027.8,0
64.57,1637.5,455.3,90.87,110.5,,3657.0,1
50.72,2557.7,435.8,89.24,494.9,6.009,74.4,0
60.97,1183.7,456.9,89.09,377.2,1.156,4169.5,0
78.09,1552.8,592.8,82.63,296.1,4.968,4407.7,1
81.86,1613.5,542.5,95.58,346.8,5.378,2723.4,0
45.18,1953.7,479.0,90.77,222.5,6.558,2445.8,0
68.61,1546.7,768.5,92.5,329.8,4.387,2881.7,0
48.36,2073.9,366.8,99.81,313.8,1.418,3941.6,0
49.6,1622.3,554.5,84.61,252.9,5.137,4799.3,0
99.45,1581.4,666.2,94.19,191.1,3.039,4598.3,0
73.39,1620.5,583.6,90.31,124.9,1.722,4847.6,0
55.96,1156.0,593.6,92.09,490.2,4.863,4518.2,0
68.07,1968.7,667.9,88.92,157.6,4.121,1048.7,0
86.77,2088.7,651.4,97.38,62.2,5.686,1995.1,1
67.1,1762.6,653.4,89.22,157.1,5.323,3409.0,1
53.48,1633.1,512.9,91.61,379.4,0.565,4018.5,0
43.07,2319.4,566.8,96.28,88.3,4.045,4972.2,0
66.92,1449.7,528.8,82.15,383.1,2.32,553.0,0
88.4,1502.3,641.8,92.42,117.9,2.855,2433.8,1
64.25,1679.5,518.3,83.92,323.6,0.042,402.8,0
61.0,1651.5,530.0,100.0,271.8,5.072,3139.4,0
49.23,1061.3,594.2,95.25,442.8,1.229,3200.9,0
61.16,2128.0,485.3,88.24,157.6,2.719,154.2,0
58.53,1572.3,463.5,87.42,380.8,0.478,3917.3,0
71.18,1837.7,397.0,100.0,95.1,3.578,1750.7,1
70.31,1918.9,571.5,92.13,231.0,0.979,2125.7,0
68.44,1724.7,583.9,99.32,122.0,,2770.3,0
42.51,1607.3,386.0,89.58,88.5,0.184,4643.9,0
75.86,1577.5,489.5,97.13,172.8,3.221,737.5,0
63.17,1003.3,414.5,97.77,235.9,4.003,2697.8,0
50.94,1705.6,599.2,,121.3,6.856,3672.4,1
67.64,1786.3,375.0,87.44,428.3,7.221,678.3,0
35.59,1480.7,504.0,100.0,309.9,0.717,4751.0,0
55.74,2355.6,604.5,88.25,235.8,3.91,1822.8,0
86.53,1792.5,711.2,99.79,64.4,1.551,267.6,1
60.88,1608.5,446.7,80.08,65.4,3.315,1065.6,1
61.66,1278.7,606.2,84.62,254.2,2.111,4009.0,0
81.89,1080.2,327.4,83.18,,2.798,2732.7,0
57.48,1819.2,330.3,80.11,62.4,1.45,2823.9,1
91.54,2028.4,569.5,78.16,474.1,3.896,2348.0,0
61.04,1647.5,476.8,91.2,91.6,3.87,3092.6,1
31.2,1137.9,809.7,92.98,60.1,5.199,1026.6,0
55.12,1914.4,551.8,77.79,248.3,2.153,4397.8,1
59.49,2033.0,550.4,88.12,240.4,5.298,419.1,0
43.33,1248.8,483.8,90.65,177.1,6.175,924.0,0
50.6,994.6,627.7,97.94,210.7,3.268,2172.2,0
66.75,1074.0,393.8,90.65,279.2,6.228,1576.8,0
69.13,1521.0,304.9,88.52,141.3,4.056,4151.9,1
8.43,2361.8,614.5,90.17,141.3,3.385,3520.5,0
60.16,944.7,480.5,91.47,96.8,4.11,3456.7,0
65.48,1746.2,532.3,88.24,368.6,0.281,2823.5,0
60.09,1827.2,435.2,93.9,213.8,0.828,3514.2,0
60.95,1788.7,626.2,100.0,237.0,5.18,4738.4,0
38.77,1331.8,363.8,90.42,334.6,1.17,1601.9,0
64.11,2189.4,658.0,94.87,205.0,0.116,2600.5,0
88.55,2078.9,478.3,92.14,53.5,5.179,3576.7,1
77.66,1492.4,545.4,92.48,224.1,3.154,2075.2,0
89.63,1529.6,419.0,89.6,235.4,1.274,2273.7,0
91.71,1954.9,368.9,99.82,167.0,0.939,96.4,0
68.73,2021.5,335.7,94.51,360.2,2.239,699.1,0
75.67,1890.4,600.2,95.73,227.4,7.615,4308.5,0
72.01,1713.2,639.2,98.51,83.0,4.242,4337.2,1
45.27,915.5,411.4,100.0,277.7,0.616,1127.5,0
36.08,1331.6,559.4,83.41,159.9,4.216,1105.4,0
66.37,1529.7,585.1,88.55,334.9,2.443,2083.4,0
74.02,1438.1,656.2,82.4,75.4,3.676,2719.2,1
77.72,1892.0,620.8,100.0,342.5,3.432,956.7,0
67.6,1691.0,508.8,86.61,212.3,5.403,4822.6,1
65.45,1589.9,493.5,97.21,146.8,4.5,105.6,0
80.24,2351.7,530.6,96.94,134.7,2.681,1955.2,0
54.52,2156.2,463.8,98.89,238.9,6.216,345.6,0
57.68,1459.4,443.1,91.81,318.3,4.646,33.7,0
74.78,2414.5,250.8,89.19,448.6,3.762,558.3,0
100.52,1318.7,628.7,87.51,147.0,3.141,387.5,0
99.87,1237.7,542.5,93.02,301.1,1.201,2437.8,0
50.87,1372.5,556.9,88.3,117.1,2.904,2189.1,0
31.98,1624.4,528.9,87.21,449.0,3.562,687.1,0
58.98,1987.0,551.4,100.0,157.2,1.356,491.8,0
83.02,1766.2,623.6,92.32,143.0,2.624,3116.0,0
44.79,1580.2,789.7,100.0,229.4,7.042,4730.0,0
77.72,1866.2,511.6,100.0,440.8,4.899,1861.4,0
62.81,1394.4,393.7,94.19,102.5,0.771,4304.5,0
45.0,1831.6,603.1,90.73,309.8,0.52,2309.9,0
67.52,1388.5,441.7,89.33,162.3,4.211,1440.7,0
72.69,1588.1,534.7,100.0,325.1,1.207,4073.4,0
73.78,2112.4,429.6,99.79,454.0,2.346,4502.4,0
58.92,2322.3,577.8,80.87,83.9,5.153,1853.6,1
79.37,1418.3,405.8,100.0,426.8,2.041,2902.9,0
56.24,2117.3,664.1,100.0,380.4,,2472.6,0
66.93,1352.8,707.8,88.79,449.2,1.34,2108.8,0
62.23,1430.6,400.4,96.24,443.7,2.694,1221.7,0
67.21,1620.2,544.6,90.76,406.0,6.498,425.6,0
52.27,1647.1,421.1,88.95,420.3,1.348,362.8,0
60.93,1542.6,496.1,97.69,432.9,2.417,450.3,0
32.75,2527.9,548.1,85.94,389.3,3.393,2215.9,0
65.58,1790.8,457.0,93.89,181.3,2.35,2455.8,0
60.42,1681.3,479.3,100.0,211.0,6.432,2423.2,0
42.8,2047.6,557.0,82.57,171.7,4.31,2355.8,0
77.05,1249.1,508.8,100.0,52.2,0.572,4870.2,0
58.47,1841.0,456.8,75.85,244.7,2.898,1307.4,0
42.76,3016.9,615.7,100.0,446.3,0.745,4875.3,0
59.31,12218.283736540712,628.0,89.33,211.1,6.543,4973.1,1
69.69,1858.7,406.7,95.74,471.0,2.416,1045.1,0
82.66,1791.9,613.3,78.7,283.5,0.688,2361.0,0
83.49,2221.6,865.7,100.0,153.7,4.277,2051.8,1
69.99,1428.6,573.6,91.54,63.7,3.646,2585.4,1
85.93,1424.5,487.9,96.88,492.8,0.759,1455.3,1
57.46,1407.9,469.8,91.38,368.8,,262.4,0
59.76,1857.6,326.2,100.0,327.1,6.444,2808.6,0
38.09,2066.4,384.5,,208.1,2.704,2295.6,0
68.35,1742.9,351.1,86.95,319.6,0.45,4256.9,0
48.4,1372.9,350.4,92.25,123.4,4.464,2618.5,0
60.96,1901.5,486.4,98.71,253.5,1.162,4318.5,0
,1989.6,576.7,81.94,499.8,4.585,2016.3,0
69.46,1395.1,460.0,95.3,290.2,3.732,2239.7,1
102.76,2033.2,489.1,92.91,384.6,4.636,2632.8,1
62.66,1744.0,496.4,100.0,160.7,4.598,707.5,0
55.55,1648.7,552.4,100.0,280.5,1.177,3372.4,0
57.22,1323.4,576.8,93.74,99.9,0.815,4288.4,0
58.31,1924.1,834.5,98.89,162.8,5.578,4547.6,0
67.29,1166.0,568.4,82.02,51.4,1.301,2058.8,1
50.03,2048.4,453.0,100.0,125.7,,3272.5,0
53.26,1442.1,629.6,84.44,85.8,1.08,1601.2,0
71.23,1592.6,546.0,100.0,260.4,0.531,2167.9,0
72.01,1212.0,593.0,91.26,99.2,3.429,4370.5,1
