UDI,Product ID,Type,Cooling temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Lubricant pressure [bar],Tool wear [min],TWF,HDF,PWF,OSF,RNF,Air temperature [K]
4377,M19236,M,140.8264045,309.6,1551,34.6,6.439826768,211,0,0,0,0,0,301.9
8823,L56002,L,233.101524,308.8,1462,,3.443622656,132,0,0,0,0,0,
4274,L51453,L,140.8633493,310.8,1486,36.4,1.565906519,160,,0,0,0,0,302.6
5826,L53005,,293.4448935,311.1,1413,42,3.515506826,221,0,0,0,0,0,301.3
6700,M21559,M,271.0167957,310.8,1516,40.4,5.661567006,48,0,0,0,0,0,301.7
7244,M22103,M,360.2752426,310.2,1393,51.2,2.41423209,190,0,0,0,0,0,300
450,L47629,L,313.1792715,308.7,1622,37.9,1.246391255,79,0,0,0,0,0,297.6
2228,L49407,L,306.5472434,308.8,1965,20.4,1.003249015,164,0,0,0,0,0,299.5
5757,M20616,M,273.2839691,311.5,1366,52.3,4.320079711,54,0,0,0,0,0,302
811,L47990,L,131.8676521,307.7,1550,39.7,4.748355626,124,0,0,0,0,0,296.9
4181,L51360,L,129.5297022,310.8,1686,28.8,3.778011247,150,0,0,0,0,0,302.4
9001,L56180,L,334.6444898,307.9,1493,46.1,6.43839286,173,0,0,0,0,0,297
5439,L52618,L,238.9526741,312.5,1683,32.1,9.932533023,85,0,0,0,0,0,302.9
7534,L54713,L,377.1607482,311.2,1504,37.9,9.525368955,58,0,0,0,0,0,300
6370,H35783,H,305.6056307,309.5,1781,24.9,1.370777805,70,0,0,0,0,0,300
8417,M23276,M,344.8044518,310.1,1585,31.3,1.280570356,147,0,0,0,0,0,298.8
1478,L48657,L,396.4317048,309.4,1570,35.6,4.656067678,138,,0,0,0,0,298.3
1791,L48970,L,228.1365354,307.9,1847,,9.664070627,69,0,0,0,0,,
2009,L49188,L,351.6508707,308.3,1811,24.7,7.080896334,27,0,0,0,0,0,298.5
683,H30096,H,132.1914555,309,1410,48.8,3.313999772,23,0,0,0,0,0,297.8
2817,L49996,L,269.7319384,309.4,1434,47.3,8.797194959,127,0,0,0,0,0,300.1
9432,L56611,L,172.1644472,308.6,1430,57,5.87993713,43,0,0,0,0,0,298
3775,M18634,M,303.263973,311.1,1480,45.7,1.184258422,200,0,0,0,0,0,302.4
6496,M21355,M,132.7750657,309.8,1694,31.1,9.234387997,187,0,0,0,0,0,300.6
8879,L56058,L,347.7370259,309.2,1802,26.9,5.618376153,83,0,0,0,0,0,298.1
7362,L54541,L,367.634999,310,1502,38.5,7.668824959,52,0,0,0,0,0,299.5
8367,M23226,M,315.2178856,309.8,1836,,4.870398719,18,0,0,0,0,0,298.9
7475,L54654,L,314.4044126,311.7,1989,22.3,9.174168779,121,0,0,0,0,0,300.3
47,M14906,M,166.7077374,309,1843,25.8,8.233858571,130,0,0,0,0,0,298.7
31,M14890,M,386.6480112,309.5,1339,48.2,4.874456222,86,0,0,0,0,0,299.1
8251,M23110,M,150.4472081,310.4,1394,45.2,1.84025143,122,0,0,0,0,0,299
6936,L54115,L,358.9544874,311.2,1878,24.3,2.790056108,24,0,0,0,0,0,300.7
1469,M16328,M,182.4150166,309.8,1419,44.9,4.155089604,115,0,0,0,0,0,298.6
1666,H31079,H,138.2811164,307.9,1491,39.7,1.423468009,181,0,0,0,0,0,298.2
1417,M16276,M,174.0540958,309.9,2083,18.2,9.525242878,205,0,0,0,0,0,298.7
6481,L53660,L,271.7828642,309.9,1775,26.6,9.79503373,149,0,0,0,0,0,300.7
4853,L52032,L,190.0887505,312.2,1619,34.9,3.333964016,92,0,0,0,0,0,303.7
2471,L49650,L,180.5937623,308.5,1467,44.7,5.952412334,136,0,0,0,0,0,
4374,M19233,M,264.6961939,309.7,1533,35.9,2.78145375,204,0,0,0,0,0,301.9
8525,L55704,L,136.7515085,309.4,1468,,1.218594961,10,0,0,0,0,0,298.3
430,L47609,L,122.0074555,308.6,1208,62.3,6.162084393,28,0,0,0,0,0,297.5
5245,L52424,L,263.6668783,313,1593,31.6,8.585869273,52,0,0,0,0,0,303.6
2120,M16979,M,282.9963333,308.9,1858,24.7,8.761022771,101,0,0,0,0,0,
386,M15245,M,322.3299483,308.6,1414,45.4,9.075999539,138,0,0,0,0,0,297.6
1946,L49125,L,175.9657243,308.1,1616,32.8,8.196984406,65,0,0,0,0,0,298.1
4225,L51404,L,191.0327353,310.7,1698,28.1,8.190492192,39,0,0,0,0,0,302
474,M15333,M,275.0804975,309,1520,37,3.893075983,147,0,0,0,0,0,297.4
2130,H31543,H,237.1120592,309,1607,33.7,5.363900548,130,0,0,0,0,0,299.4
6557,L53736,L,227.3320123,310.7,1686,27.9,6.379432572,135,0,0,0,0,0,
6999,M21858,M,219.6730273,310.7,1388,42.9,5.388234289,190,0,0,0,0,0,300.6
1056,L48235,L,118.9160221,307.8,1480,39.4,3.261074827,122,0,0,0,0,0,296.8
3275,L50454,L,228.0205181,310,1665,31.4,5.996047986,0,0,0,0,0,0,301.3
4962,L52141,L,274.2394482,312.7,1800,24.3,1.665769386,158,0,0,0,0,0,303.9
5364,L52543,L,282.5007685,312.5,1518,39.9,8.221990857,146,0,0,0,0,0,303.2
5817,L52996,L,108.1067327,311,1582,35.6,5.433535521,202,0,0,0,0,0,301.3
812,L47991,L,220.7622239,307.6,1588,37.6,4.368205786,126,0,0,0,0,0,296.8
4574,H33987,H,337.3839885,311,1436,43.5,2.843524918,47,0,0,0,0,0,
6138,M20997,,217.123527,310.8,1988,19.7,5.859974229,136,0,0,0,0,0,300.9
2389,M17248,M,395.1390794,308.5,1526,37.3,9.395874243,135,0,0,0,0,0,299.2
9649,L56828,L,293.7623816,310.1,1416,41.2,1.662983024,185,0,0,0,0,0,299.1
6226,M21085,M,240.4455321,311,1424,41.4,2.376002008,131,0,0,0,0,0,301.2
112,H29525,H,319.7795783,308.6,1499,43.5,3.648789953,84,0,0,0,0,0,298.7
8910,L56089,L,337.1306024,308.4,1529,40.4,2.067005447,165,0,0,0,0,0,297.1
1746,L48925,,316.577818,308,1624,29.8,2.209475897,160,0,0,0,0,0,298.5
7852,L55031,L,321.7287685,311.7,1373,47.2,2.609005117,3,0,0,0,0,0,300.4
1453,L48632,L,396.6058035,310.3,1584,34.4,5.578339663,83,0,0,0,0,0,299
320,L47499,L,123.4359199,308.4,1612,32.1,4.850866621,183,0,0,0,0,0,297.8
8594,M23453,M,374.67431,308,1601,34.6,9.178884702,181,0,0,0,0,0,297.4
3334,M18193,M,198.5870447,310.8,1343,49.5,6.625318166,140,0,0,0,0,0,301.6
1923,L49102,L,155.2731804,307.8,1716,26.6,3.372591649,9,0,0,0,0,,298
5866,M20725,M,396.9159483,311.1,1402,40,8.675044557,94,0,0,0,0,0,301.5
9529,M24388,M,286.428646,310.3,1233,59,5.652358737,81,0,0,0,0,0,299.1
3686,M18545,M,271.9308233,311.1,1380,51.6,6.362988352,184,0,0,0,0,0,301.9
4276,M19135,M,340.0012001,310.5,1500,36.7,9.136919894,164,0,0,0,0,0,302.4
4890,L52069,L,108.855444,312.5,1632,36.6,2.057241607,186,,0,0,0,0,303.7
5226,M20085,M,274.6837753,313.2,1437,53.9,1.883539773,7,0,0,0,0,0,304
7473,M22332,M,356.8965181,311.6,1617,32.5,5.005363403,115,0,0,0,0,0,300.3
3606,L50785,L,119.2505284,310.7,1641,31.9,3.494241125,192,0,0,0,0,0,301.7
1053,L48232,L,340.8862972,307.7,1927,23.9,6.510387574,112,0,0,0,0,0,296.7
4157,M19016,M,266.890052,310.5,1823,25.1,6.018804732,87,0,0,0,0,0,302
9677,L56856,L,153.0863699,310.1,1886,21.2,2.83124771,13,0,0,0,0,0,299
100,L47279,L,248.327707,308.8,1523,44.4,3.703408752,55,0,0,0,0,0,298.8
7509,M22368,M,399.1075652,311.9,1730,27.5,8.875899994,209,0,0,0,0,0,300.5
1457,L48636,L,333.0242222,310.3,1501,43,5.376264094,91,0,0,0,0,0,299
7689,L54868,L,353.947424,311.7,1553,39.8,3.996988611,0,0,0,0,0,0,300.6
4005,L51184,L,287.7592879,311.1,1373,55.7,6.082825987,157,0,0,0,0,0,302
6867,M21726,M,116.7976763,311.3,1454,41.5,8.623962739,57,,0,0,0,0,301
4510,L51689,L,173.0639775,310.1,1429,43.7,1.993232628,104,0,0,0,0,0,302.4
3300,L50479,L,221.7521046,310.5,1390,45.8,1.623223311,63,0,0,0,0,0,301.3
3800,L50979,L,398.3196531,310.9,1506,34,6.857783998,49,0,0,0,0,0,302.2
4282,L51461,L,146.0825838,310,1832,22.9,6.51828076,178,0,0,0,0,0,302
9052,L56231,L,213.6706151,308.6,1820,24.6,8.067866577,79,0,0,0,0,0,297.4
6463,H35876,H,317.1768896,310,1483,44,4.722862291,97,0,0,0,0,0,300.6
7913,L55092,L,205.8692964,312.1,1498,44,2.88976642,155,0,0,0,0,0,300.7
1415,M16274,M,114.9835048,309.8,1570,42.1,7.814913032,200,0,0,0,0,0,298.7
541,L47720,L,213.5510046,309.4,1473,45.5,4.762949422,94,0,0,0,0,0,297.4
5816,L52995,L,289.9887684,311,1670,33,7.149187754,200,0,0,0,0,0,301.2
8200,L55379,L,158.8705743,310.7,1737,27,6.685605861,225,,0,0,0,0,299.2
3681,L50860,L,155.3122511,311.5,1744,31.2,3.623189144,172,0,0,0,0,0,302.2
755,M15614,M,330.451405,308.1,1483,44.3,4.417197118,219,0,0,0,0,0,296.9
4197,M19056,M,245.4499946,311,1563,35.6,4.785980065,190,0,0,0,0,0,302.5
2651,L49830,L,200.9005361,309.6,1280,59.3,8.293460636,163,0,0,0,0,0,299.9
4523,M19382,M,378.0020264,310.5,1918,21.6,7.223473099,131,0,0,0,0,0,302.5
9520,L56699,L,198.4598182,310.1,1531,36,7.61619515,57,,0,0,0,0,299
3119,M17978,M,360.9164766,309.5,1458,46.9,4.351550599,23,0,0,0,0,0,300.2
3729,L50908,L,224.1906592,311.3,1457,44.5,9.841092547,83,,0,0,0,0,302.3
3887,L51066,L,240.8046718,311.3,1392,50.5,9.74937145,51,0,0,0,0,0,302.4
7108,H36521,H,115.9533412,310.5,1512,41.2,9.774044609,49,0,0,0,0,0,300.9
8069,M22928,M,153.7193602,311.9,1676,35.2,5.100782293,97,0,0,0,0,0,300.5
7326,L54505,L,360.8386134,310.4,1419,45.7,1.428933299,178,0,0,0,0,0,299.9
8484,L55663,L,277.0705815,309.4,1618,31.5,7.010592184,108,0,0,0,0,0,298.3
8768,L55947,L,113.0767134,308.6,1380,53.5,2.312673858,192,0,0,0,0,0,297.5
6501,M21360,M,160.0635711,310,1416,46.6,9.190426674,201,0,0,0,0,0,300.9
8427,L55606,L,284.9175857,310.5,1628,35.9,5.417532524,174,0,0,0,0,0,299.1
7964,L55143,L,119.3109641,312.2,1510,39.9,8.879857471,61,0,0,0,0,0,301
602,L47781,L,136.0706329,309.7,2194,16.8,4.491986235,27,0,0,0,0,0,297.9
9250,L56429,L,293.5296329,309,1657,32.2,5.700823355,179,0,0,0,0,0,298.3
8920,L56099,L,122.7528597,308.3,1693,28,8.061429784,188,0,0,0,0,0,297.2
6815,H36228,H,215.7623463,310.6,1465,44.1,4.527314042,136,0,0,0,0,0,300.8
5412,L52591,L,373.6830152,312.6,1462,39.4,4.193262532,22,,0,0,0,0,302.8
8748,L55927,L,289.0348153,308.5,1504,,1.829999982,142,0,0,0,0,0,297.3
5523,L52702,L,358.7181438,311.9,1453,39.1,8.305140256,84,0,0,0,0,0,302.6
1045,L48224,L,161.41949,307.6,1512,43.6,8.632040239,92,0,0,0,0,0,296.5
7335,L54514,L,150.1381246,310.4,1694,30.3,1.811282431,204,0,0,0,0,0,
1558,L48737,L,132.2123852,308.4,1585,30.6,9.825004813,127,0,0,0,0,0,298.3
3740,M18599,M,185.493017,311.2,1663,29.6,3.448530709,115,0,0,0,0,0,302.2
3523,L50702,L,260.7345986,311,1651,32.5,2.660560361,195,0,0,0,0,0,301.8
181,L47360,L,245.2004199,308.3,1475,49.9,1.221244271,47,0,0,0,0,0,298.2
2116,L49295,L,273.6645842,309,1404,47.3,1.228225631,86,0,0,0,0,0,299.4
1700,L48879,L,292.0901105,307.7,1289,48.3,1.156321626,42,0,0,0,0,0,298.1
1380,L48559,L,202.2955355,310.1,1620,34.8,7.133007041,112,0,0,0,0,0,298.7
7230,L54409,L,165.2432954,309.8,1749,33.4,4.053493432,153,0,0,0,0,0,299.8
9144,L56323,L,262.7823127,308.5,1452,42.6,5.173107501,116,0,0,0,0,0,297.6
619,H30032,H,374.1079457,310,1433,44.2,5.761941188,68,0,0,0,0,0,
3182,L50361,L,203.7305748,309.4,1527,37,1.728362574,194,0,0,0,0,0,300.2
9852,M24711,M,243.598936,309.3,1761,27.2,7.512198918,49,0,0,0,0,0,
1601,M16460,M,298.1392052,307.8,1543,43.7,1.129217831,8,0,0,0,0,0,297.8
5964,H35377,H,374.7858066,310.7,1656,36.3,2.4304146,127,0,0,0,0,0,300.4
1616,L48795,L,111.6815808,307.9,1447,48.6,1.968511538,46,0,0,0,0,0,297.8
5921,L53100,L,116.0460862,310.2,1764,25.9,4.915543265,27,0,0,0,0,0,300.5
9592,L56771,L,236.7762835,310.4,1570,37.3,5.403819086,37,0,0,0,0,0,299.2
3892,L51071,L,282.1806386,311.1,1418,47,3.035133362,61,0,0,0,0,0,
2084,H31497,H,370.2932783,309.3,1743,28.2,7.010010259,0,0,0,0,0,0,299.4
4575,M19434,M,310.3308154,311,1402,40.7,6.125733889,52,0,0,0,0,0,302.9
5595,L52774,L,150.1133531,311.9,1598,35.5,3.762403766,69,0,0,0,0,0,302.6
5122,L52301,L,192.152362,313.6,1469,40,4.834087033,154,0,0,0,0,0,304.2
4588,M19447,M,312.8182588,311,1507,33.4,8.279424227,82,0,0,0,0,0,302.8
4903,L52082,L,129.9777682,312.3,1616,29.3,5.101975895,226,0,0,0,0,0,303.6
8253,L55432,L,130.9799732,310.4,1565,36.1,3.307253683,127,0,0,0,0,0,299
5917,L53096,L,286.6635369,310.2,1555,41.9,2.751780356,19,0,0,0,0,0,300.6
5130,M19989,M,309.2066758,313.3,1725,28.3,1.053157875,177,0,0,0,0,0,304.1
8335,M23194,M,384.120646,309.7,1459,47.3,3.050230115,141,0,0,0,0,0,298.8
1919,M16778,M,292.193371,307.9,1496,40,7.782234675,0,0,0,0,0,0,298.1
8331,L55510,L,109.9357505,309.7,1505,39,2.893436806,131,0,0,0,0,0,298.8
5708,L52887,L,131.0866059,311.8,1448,43.4,2.917577932,141,0,0,0,0,0,302.4
5385,M20244,M,257.7358292,312.4,1421,,6.739479007,206,0,0,0,0,0,302.9
6337,L53516,L,141.0206944,309.8,1395,,6.833549356,201,,0,0,0,0,300.4
2055,M16914,M,376.8203471,309.4,1605,29.8,4.204606962,142,0,0,0,0,0,299.6
7613,M22472,M,147.165334,311.4,1743,27.6,9.702068241,46,0,0,0,0,0,300.5
9210,M24069,M,362.9086632,309,1393,55.9,1.012902304,79,0,0,0,0,0,298
3964,H33377,H,202.7806508,311.5,1526,38.2,7.582455484,47,0,0,0,0,0,302.3
1127,L48306,L,240.094609,307.9,1706,30.8,8.400929659,111,,0,0,0,0,296.8
3429,L50608,L,231.9792968,310.6,1391,49.4,4.268060621,164,0,0,0,0,0,301.6
4602,M19461,M,143.0344316,311.1,1372,54.3,6.154815135,117,0,1,0,0,0,303
3722,M18581,M,165.2012302,311.2,1544,43.6,6.453914934,63,,0,0,0,0,302.2
2390,L49569,L,251.1196563,308.5,1867,27,5.348122507,138,0,0,0,0,0,299.2
1323,H30736,H,314.3971791,310.1,1452,49.9,4.47663898,187,0,0,0,0,0,298.9
1604,M16463,M,263.2233943,307.8,1622,32.1,7.175104505,18,0,0,0,0,0,297.8
7225,L54404,L,301.9237028,309.6,1598,31,9.020307714,139,0,0,0,0,0,299.8
7426,M22285,M,106.4775872,311.4,1791,24.1,1.495190408,213,0,0,0,0,0,300
4337,H33750,H,281.4579595,309.9,1423,53.6,2.880359625,95,0,0,0,0,0,301.6
5594,L52773,L,202.1776309,311.9,1354,48,1.045220118,67,,0,0,0,0,302.6
4412,L51591,L,247.4185172,310.3,1688,31.6,9.720870103,66,0,0,0,0,0,302.5
5859,L53038,L,362.7594957,311,1348,44.5,7.309227268,78,0,0,0,0,0,301.3
9344,M24203,M,393.6239363,308.8,1391,50.4,1.794185074,13,0,0,0,0,0,298.3
3992,L51171,L,191.4972684,311.3,1682,34.4,2.302919291,127,0,0,0,0,0,302.3
6080,M20939,M,171.5411616,310.7,1371,44.7,8.504648985,205,0,0,0,0,0,
1560,L48739,L,256.900001,308.3,1458,41.8,9.54716416,132,0,0,0,0,0,298.2
4683,L51862,L,115.679329,311.8,1567,31.7,3.387627145,97,0,0,0,0,0,303.6
7558,M22417,M,366.5294105,311.5,1750,27.3,3.197271174,116,0,0,0,0,0,300.4
3773,L50952,L,294.5195616,311.1,1448,44.8,4.086482005,195,0,0,0,0,0,302.4
8780,M23639,M,323.4559387,308.6,1349,51.5,6.01639409,21,0,0,0,0,0,297.5
3458,M18317,M,306.115454,310.4,2639,12,8.846788814,21,0,0,1,0,0,301.5
8384,M23243,M,273.2460587,309.9,1495,35.2,1.298679373,60,0,0,0,0,0,298.8
1355,L48534,L,231.6962261,310,1334,48,1.295853343,42,0,0,0,0,0,298.6
46,L47225,L,350.6132188,309.1,1489,49.1,9.388590268,128,0,0,0,0,0,298.8
9873,L57052,L,109.2019447,309.9,1373,52.1,6.065772672,108,0,0,0,0,0,298.9
749,H30162,H,325.3777982,308.1,1528,46.3,8.625535283,203,0,0,0,0,0,296.7
7918,L55097,L,309.6514959,312.1,1474,42.4,3.083857602,171,0,0,0,0,0,300.9
4242,L51421,L,149.7026134,311,1475,47.9,8.91313229,79,,0,0,0,0,302.4
5629,L52808,L,207.794473,312.1,1688,32,1.17828438,155,,0,0,0,0,
4658,L51837,L,304.1132612,311.2,1628,35.2,5.20309483,23,0,0,0,0,0,303.1
4239,M19098,M,267.7687672,311,1521,34.8,3.003102222,72,0,0,0,0,0,302.3
3461,L50640,L,309.3299665,310.3,1415,41.6,1.369946228,28,0,0,0,0,0,
7382,L54561,L,276.2513644,310.3,1495,,4.937366087,101,0,0,0,0,0,299.7
5550,H34963,H,267.7606107,311.9,1374,52.4,9.593035137,154,0,0,0,0,0,302.3
7076,L54255,L,177.1190781,310.5,1536,47.4,5.65990843,192,0,0,0,0,0,300.7
5839,M20698,M,179.2987893,311.2,1476,36.5,3.001510715,25,,0,0,0,0,301.4
8092,L55271,L,338.0368765,311.6,1375,56.9,2.389825933,155,0,0,0,0,0,300.2
5475,M20334,M,393.3624595,312.1,1378,46.9,7.132492587,176,0,0,0,0,0,302.7
3615,L50794,L,376.9324785,311,1606,33.3,4.52203791,4,0,0,0,0,0,301.8
7502,L54681,L,172.5500401,311.7,1640,30.8,8.035721725,191,0,0,0,0,0,300.2
7054,H36467,H,294.4552474,310.5,1567,38.7,2.755885664,129,0,0,0,0,0,300.7
7368,M22227,M,388.8796401,310.1,1359,61.1,9.921401523,67,0,0,0,0,0,299.5
8020,L55199,L,260.586907,312.1,1675,30.7,7.759984207,200,0,0,0,0,0,301
9639,H39052,H,186.1832346,310.4,1393,44.9,7.466545597,162,0,0,0,0,0,299.3
9056,H38469,H,357.9479704,308.4,1864,23.1,1.914809206,90,0,0,0,0,0,297.3
665,L47844,L,195.0182423,308.9,1390,47.4,3.56765006,187,0,0,0,0,0,297.5
2320,M17179,M,309.7826333,308.8,1700,33.5,1.152033915,185,0,0,0,0,0,299.2
3543,L50722,,207.8024352,310.9,1899,24.7,3.72122658,31,0,0,0,0,0,301.8
3678,M18537,M,210.2744463,311.7,1368,53.6,9.884767389,165,0,0,0,0,0,302.3
9600,L56779,L,251.458412,310.1,1463,37.4,2.704313483,56,0,0,0,0,0,299
3092,L50271,L,354.62536,309.3,1558,29.7,2.038301346,168,0,0,0,0,0,300
676,M15535,M,151.4349031,309.1,1424,45.5,6.075123117,2,0,0,0,0,0,297.8
8677,M23536,M,340.696747,308.5,1520,42.4,2.299773854,171,0,0,0,0,0,
4885,H34298,H,149.4275427,312.5,1655,28,1.70689792,170,0,0,0,0,0,303.8
8080,L55259,L,329.9865672,311.5,1528,36.1,4.58735971,125,0,0,0,0,0,300.2
1963,L49142,L,223.3913308,307.5,1391,48.6,2.733218485,109,0,0,0,0,0,297.8
1841,M16700,M,114.2787949,307.2,1405,43.7,2.785298075,2,0,0,0,0,0,297.7
7169,L54348,L,314.0887327,310.3,1704,29.5,5.658101181,0,0,0,0,0,0,300.3
9899,L57078,L,170.6464305,309.2,1396,44.8,2.73367379,178,0,0,0,0,0,298.7
3539,L50718,L,174.8441566,311.1,1635,36,7.186627241,23,0,0,0,0,0,302
8027,L55206,L,273.814537,311.9,1399,50.2,7.790838386,222,0,0,0,1,0,300.7
4867,L52046,L,340.3064334,312.4,1781,28.7,8.068145597,124,0,0,0,0,0,303.6
4175,L51354,L,396.0467084,310.7,1499,37.8,8.809972972,137,0,0,0,0,0,
8089,L55268,L,258.2929733,311.4,1356,45.7,5.822993575,149,0,0,0,0,0,300.1
4378,M19237,M,325.4471297,309.6,1436,49,4.310535787,214,0,0,0,0,0,301.8
6212,L53391,L,294.3089286,310.6,1360,48.8,8.23507313,91,0,0,0,0,0,300.8
4767,M19626,M,396.454002,312,1645,35.7,4.22823942,81,0,0,0,0,0,303.6
412,L47591,L,350.9095683,308.7,1429,44.3,6.608849302,201,0,0,0,0,0,297.5
614,L47793,L,207.1712631,309.9,1634,30,8.192399522,53,0,0,0,0,0,298.1
6127,L53306,,243.2477434,310.9,1370,52.5,9.122539592,107,0,0,0,0,0,
5211,L52390,L,302.7775176,312.6,1466,42.5,2.2859172,183,0,0,0,0,0,303.7
1431,L48610,L,133.8944227,310,1378,49.3,5.586525124,18,0,0,0,0,0,298.9
2426,L49605,L,261.0636582,308.1,1472,53.5,3.42102354,28,0,0,0,0,0,
8842,L56021,L,180.8144298,308.7,1506,39.3,6.197999024,187,0,0,0,0,0,297.3
3834,M18693,M,176.694817,311,1541,36.6,7.448559395,143,0,0,0,0,0,302.3
4719,L51898,,166.8146562,311.6,1337,56.8,1.385871483,187,0,1,0,0,0,303.3
7186,L54365,L,190.4099245,310.4,1672,29.2,5.876751659,39,0,0,0,0,0,300.3
1418,L48597,L,236.9802526,309.9,1541,38.5,2.09344745,208,0,0,0,0,0,298.7
7200,L54379,L,244.3754628,309.9,1507,41.4,6.188142249,74,0,0,0,0,0,300
605,L47784,L,230.5702136,309.9,1542,33.8,1.201451274,33,,0,0,0,0,297.9
1273,H30686,H,250.2472228,309.4,1562,38.1,5.470065127,58,0,0,0,0,0,298
3965,M18824,M,343.5370112,311.6,1668,33.2,4.527294593,52,0,0,0,0,0,302.3
